evolution$generation,maxNewLinksNumber,densityConf,breakdownHierarchy,breakdownThreshold,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,nwSize,breakdownThreshold,densityConf,meanPathLength,maxNewLinksNumber,replication,breakdownHierarchy,nwLength,meanRelativeSpeed,meanClosenessCentrality
4500,3.4445492434427334,27,0.758890085718681,1.0,1.1453479861614657,0.5362540293914936,0.09339737264299763,0.029452938338483805,0.6545638843143672,466.9890000521638,1,"[1.1453479861614657]","[0.09339737264299763]","[113.0]","[1.0]","[27]","[0.5362540293914936]","[3.4445492434427334]","[447632379]","[0.758890085718681]","[466.9890000521638]","[0.6545638843143672]","[0.029452938338483805]"
4500,7.815072632439359,39,0.1,1.0,1.0154420566256677,0.4905877695762292,0.04546003469412578,0.11288724867690439,0.8798325591534746,848.5829136247617,2,"[0.9463853678357071,1.0844987454156283]","[0.04153536414565827,0.0493847052425933]","[106.0,104.0]","[1.0,1.0]","[39,39]","[0.46534851858294896,0.5158270205695095]","[7.815072632439359,7.815072632439359]","[6372490,204797384]","[0.1,0.1]","[883.2219552145099,813.9438720350136]","[0.8984146178378382,0.861250500469111]","[0.11922696613645724,0.10654753121735154]"
4500,1.1905025696675928,12,0.6604691866743255,1.1402164581934446,1.8592642333643072,0.7785328097911212,0.1049656114161519,0.019962282932685392,0.5261343214492186,442.1318247297208,1,"[1.8592642333643072]","[0.1049656114161519]","[126.0]","[1.1402164581934446]","[12]","[0.7785328097911212]","[1.1905025696675928]","[-1884576287]","[0.6604691866743255]","[442.1318247297208]","[0.5261343214492186]","[0.019962282932685392]"
4500,1.0,29,0.9480362120920963,1.0262097070159168,1.6890838140943194,0.722101833921801,0.12032365699032366,0.029059926381990415,0.5936478315064226,349.4085317433143,1,"[1.6890838140943194]","[0.12032365699032366]","[104.0]","[1.0262097070159168]","[29]","[0.722101833921801]","[1.0]","[-1648439891]","[0.9480362120920963]","[349.4085317433143]","[0.5936478315064226]","[0.029059926381990415]"
4500,2.578882800410582,2,2.4612099846405315,1.1647799058371788,1.7069959569550532,0.6858386698476218,0.09785507246376812,0.028366208142784077,0.6607215277200669,448.90682948357045,1,"[1.7069959569550532]","[0.09785507246376812]","[107.0]","[1.1647799058371788]","[2]","[0.6858386698476218]","[2.578882800410582]","[-1469372781]","[2.4612099846405315]","[448.90682948357045]","[0.6607215277200669]","[0.028366208142784077]"
4500,7.087475617855012,43,1.6189155823352075,1.0,1.1498904571254416,0.5754273799737691,0.05312294953913451,0.024504121515751567,0.705833286681189,696.6890490392033,1,"[1.1498904571254416]","[0.05312294953913451]","[133.0]","[1.0]","[43]","[0.5754273799737691]","[7.087475617855012]","[-934742969]","[1.6189155823352075]","[696.6890490392033]","[0.705833286681189]","[0.024504121515751567]"
4500,7.149104819661019,5,0.7908494687319465,1.5265319957851755,1.1700237706493002,0.5669605586968465,0.07295079804775095,0.02394958643951409,0.6958955159962777,548.2950684474949,1,"[1.1700237706493002]","[0.07295079804775095]","[118.0]","[1.5265319957851755]","[5]","[0.5669605586968465]","[7.149104819661019]","[267661450]","[0.7908494687319465]","[548.2950684474949]","[0.6958955159962777]","[0.02394958643951409]"
4500,8.040946902142977,6,3.9637904007372033,1.8229504526966047,1.375084318216966,0.5791919598247119,0.09309424002484087,0.027499461419254318,0.6272769174484756,431.4411541874747,1,"[1.375084318216966]","[0.09309424002484087]","[106.0]","[1.8229504526966047]","[6]","[0.5791919598247119]","[8.040946902142977]","[772954050]","[3.9637904007372033]","[431.4411541874747]","[0.6272769174484756]","[0.027499461419254318]"
4500,5.8309381339561694,28,0.1,1.0021286288005349,1.3220403712287114,0.5096709553471102,0.061727805982873356,0.036145599356099095,0.740915796896834,569.6665565647767,1,"[1.3220403712287114]","[0.061727805982873356]","[110.0]","[1.0021286288005349]","[28]","[0.5096709553471102]","[5.8309381339561694]","[2171808]","[0.1]","[569.6665565647767]","[0.740915796896834]","[0.036145599356099095]"
4500,6.865603524287888,29,3.737764012025171,1.0555151662317668,1.1427655560680456,0.4857037429785802,0.05654582895478291,0.037766032272371505,0.7633416535963888,640.4726057774899,2,"[1.143792647256693,1.1417384648793985]","[0.05655118809682434,0.05654046981274148]","[121.0,124.0]","[1.0555151662317668,1.0555151662317668]","[29,29]","[0.4862914070504028,0.48511607890675756]","[6.865603524287888,6.865603524287888]","[1646562785,-1913082278]","[3.737764012025171,3.737764012025171]","[664.5035729100035,616.4416386449764]","[0.7674971354262695,0.759186171766508]","[0.03603608304517664,0.039495981499566374]"
