evolution$generation,maxNewLinksNumber,densityConf,bioThreshold,bioSteps,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,bioThreshold,nwDiameter,bioSteps,meanBwCentrality,nwSize,densityConf,nwLength,meanPathLength,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
5500,7.459505911875295,34,0.4846575395356342,43.451395512730336,1.6787961539693523,0.6139163596660357,0.07052028218694885,0.0304922330065293,0.7554720474237708,585.261964207346,1,"[0.4846575395356342]","[1.6787961539693523]","[43.451395512730336]","[0.07052028218694885]","[108.0]","[34]","[585.261964207346]","[0.6139163596660357]","[7.459505911875295]","[1348510690]","[0.7554720474237708]","[0.0304922330065293]"
5500,6.564011573469368,1,0.42581456515823296,74.87886806332514,1.4075435391167068,0.4863636372044684,0.04140208612627931,0.025522595725589722,0.8207880156353998,638.2257966050761,1,"[0.42581456515823296]","[1.4075435391167068]","[74.87886806332514]","[0.04140208612627931]","[149.0]","[1]","[638.2257966050761]","[0.4863636372044684]","[6.564011573469368]","[-1955822012]","[0.8207880156353998]","[0.025522595725589722]"
5500,4.0,14,0.5446958331030196,46.92957059209684,1.325714052347084,0.49955213051470476,0.030076121202228717,0.020797131236721757,0.7985430330454449,910.0102580036154,1,"[0.5446958331030196]","[1.325714052347084]","[46.92957059209684]","[0.030076121202228717]","[215.0]","[14]","[910.0102580036154]","[0.49955213051470476]","[4.0]","[-1908476328]","[0.7985430330454449]","[0.020797131236721757]"
5500,6.893072100069905,31,0.5361797535819236,100.0,1.1892586334724435,0.48996941943115785,0.03532471626733922,0.041661646944196655,0.832109546244262,666.475956746764,1,"[0.5361797535819236]","[1.1892586334724435]","[100.0]","[0.03532471626733922]","[126.0]","[31]","[666.475956746764]","[0.48996941943115785]","[6.893072100069905]","[275201328]","[0.832109546244262]","[0.041661646944196655]"
5500,9.328394402479656,2,0.6,59.301264943433026,1.2184371500446753,0.6141137201470682,0.050679631249579436,0.023166385161933294,0.7175856014463929,638.2057191346539,1,"[0.6]","[1.2184371500446753]","[59.301264943433026]","[0.050679631249579436]","[123.0]","[2]","[638.2057191346539]","[0.6141137201470682]","[9.328394402479656]","[1448377913]","[0.7175856014463929]","[0.023166385161933294]"
5500,4.509690207408075,22,0.47836143789743857,100.0,1.0281262813174883,0.39646862773905267,0.02200389669609916,0.02135375108481555,0.8538537117317887,1060.3340221065343,1,"[0.47836143789743857]","[1.0281262813174883]","[100.0]","[0.02200389669609916]","[248.0]","[22]","[1060.3340221065343]","[0.39646862773905267]","[4.509690207408075]","[2101607736]","[0.8538537117317887]","[0.02135375108481555]"
5500,6.220459747532824,23,0.6,47.7363442107722,1.318773528453915,0.5335314934169811,0.038097923480723335,0.018950129042056448,0.75441657251426,801.3001359934258,2,"[0.6,0.6]","[1.4313824227170886,1.2061646341907413]","[47.7363442107722,47.7363442107722]","[0.04112362043147912,0.03507222652996755]","[159.0,186.0]","[23,23]","[759.1608202726534,843.4394517141982]","[0.5541559498308288,0.5129070370031334]","[6.220459747532824,6.220459747532824]","[908959542,-388644542]","[0.7357028676942532,0.7731302773342669]","[0.01868804166501959,0.019212216419093306]"
5500,10.0,14,0.4,40.0,0.9670168705802008,0.46290082118538983,0.02985537918871252,0.015430299755322337,0.8466231935849513,1013.8804313282976,1,"[0.4]","[0.9670168705802008]","[40.0]","[0.02985537918871252]","[252.0]","[14]","[1013.8804313282976]","[0.46290082118538983]","[10.0]","[-969800534]","[0.8466231935849513]","[0.015430299755322337]"
5500,4.108443456740594,21,0.5823379804102328,100.0,1.6650299532542452,0.5783073491570446,0.054765041721563455,0.028124626249444076,0.7303124099975435,589.7708678293122,1,"[0.5823379804102328]","[1.6650299532542452]","[100.0]","[0.054765041721563455]","[139.0]","[21]","[589.7708678293122]","[0.5783073491570446]","[4.108443456740594]","[2045146540]","[0.7303124099975435]","[0.028124626249444076]"
5500,4.011664543369582,42,0.46127714044562795,99.85334576271711,1.0882505431541392,0.49543820119275306,0.04423963133640553,0.029416805305862683,0.8134152551589849,594.3389053793641,1,"[0.46127714044562795]","[1.0882505431541392]","[99.85334576271711]","[0.04423963133640553]","[127.0]","[42]","[594.3389053793641]","[0.49543820119275306]","[4.011664543369582]","[-1740500368]","[0.8134152551589849]","[0.029416805305862683]"
